2020-02-12,Texas,48,1,0
2020-02-13,Texas,48,2,0
2020-02-14,Texas,48,2,0
2020-02-15,Texas,48,2,0
2020-02-16,Texas,48,2,0
2020-02-17,Texas,48,2,0
2020-02-18,Texas,48,2,0
2020-02-19,Texas,48,2,0
2020-02-20,Texas,48,2,0
2020-02-21,Texas,48,4,0
2020-02-22,Texas,48,4,0
2020-02-23,Texas,48,4,0
2020-02-24,Texas,48,10,0
2020-02-25,Texas,48,10,0
2020-02-26,Texas,48,10,0
2020-02-27,Texas,48,10,0
2020-02-28,Texas,48,11,0
2020-02-29,Texas,48,11,0
2020-03-01,Texas,48,11,0
2020-03-02,Texas,48,11,0
2020-03-03,Texas,48,11,0
2020-03-04,Texas,48,12,0
2020-03-05,Texas,48,16,0
2020-03-06,Texas,48,19,0
2020-03-07,Texas,48,19,0
2020-03-08,Texas,48,23,0
2020-03-09,Texas,48,24,0
2020-03-10,Texas,48,31,0
2020-03-11,Texas,48,33,0
2020-03-12,Texas,48,41,0
2020-03-13,Texas,48,58,0
2020-03-14,Texas,48,69,0
2020-03-15,Texas,48,80,0
2020-03-16,Texas,48,87,1
2020-03-17,Texas,48,106,1
2020-03-18,Texas,48,166,2
2020-03-19,Texas,48,248,4
2020-03-20,Texas,48,386,5
2020-03-21,Texas,48,547,5
2020-03-22,Texas,48,639,7
2020-03-23,Texas,48,728,7
2020-03-24,Texas,48,857,11
2020-03-25,Texas,48,1132,13
2020-03-26,Texas,48,1542,21
2020-03-27,Texas,48,1971,25
2020-03-28,Texas,48,2381,30
2020-03-29,Texas,48,2722,35
2020-03-30,Texas,48,3065,46
2020-03-31,Texas,48,3588,57
2020-04-01,Texas,48,4402,65
2020-04-02,Texas,48,4952,80
2020-04-03,Texas,48,5773,98
2020-04-04,Texas,48,6566,124
2020-04-05,Texas,48,7117,136
2020-04-06,Texas,48,8150,159
2020-04-07,Texas,48,8968,177
2020-04-08,Texas,48,9897,195
2020-04-09,Texas,48,11372,228
2020-04-10,Texas,48,12291,249
2020-04-11,Texas,48,13208,265
2020-04-12,Texas,48,13776,288
2020-04-13,Texas,48,14487,320
2020-04-14,Texas,48,15303,365
2020-04-15,Texas,48,16106,395
2020-04-16,Texas,48,16928,428
2020-04-17,Texas,48,18131,461
2020-04-18,Texas,48,18927,487
2020-04-19,Texas,48,19441,503
2020-04-20,Texas,48,20035,523
2020-04-21,Texas,48,20949,552
2020-04-22,Texas,48,21769,571
2020-04-23,Texas,48,22706,601
2020-04-24,Texas,48,23650,625
2020-04-25,Texas,48,24494,662
2020-04-26,Texas,48,25209,676
2020-04-27,Texas,48,25963,699
2020-04-28,Texas,48,26868,738
2020-04-29,Texas,48,27839,776
2020-04-30,Texas,48,29072,828
2020-05-01,Texas,48,30342,853
2020-05-02,Texas,48,31433,875
2020-05-03,Texas,48,32299,890
2020-05-04,Texas,48,33134,914
2020-05-05,Texas,48,34286,955
2020-05-06,Texas,48,35441,985
2020-05-07,Texas,48,36682,1016
2020-05-08,Texas,48,37943,1059
2020-05-09,Texas,48,38849,1086
2020-05-10,Texas,48,40037,1110
2020-05-11,Texas,48,40988,1137
2020-05-12,Texas,48,42348,1169
2020-05-13,Texas,48,43822,1205
2020-05-14,Texas,48,45169,1256
2020-05-15,Texas,48,46987,1300
2020-05-16,Texas,48,47866,1330
2020-05-17,Texas,48,48828,1356
2020-05-18,Texas,48,49788,1362
2020-05-19,Texas,48,51080,1405
2020-05-20,Texas,48,52369,1443
2020-05-21,Texas,48,53441,1480
2020-05-22,Texas,48,54369,1498
2020-05-23,Texas,48,55451,1522
