2020-01-24,Illinois,1,0
2020-01-25,California,1,0
2020-01-25,Illinois,1,0
2020-01-26,California,2,0
2020-01-26,Illinois,1,0
2020-01-27,California,2,0
2020-01-27,Illinois,1,0
2020-01-28,California,2,0
2020-01-28,Illinois,1,0
2020-01-29,California,2,0
2020-01-29,Illinois,1,0
2020-01-30,California,2,0
2020-01-30,Illinois,2,0
2020-01-31,California,3,0
2020-01-31,Illinois,2,0
2020-02-01,California,3,0
2020-02-01,Illinois,2,0
2020-02-02,California,6,0
2020-02-02,Illinois,2,0
2020-02-03,California,6,0
2020-02-03,Illinois,2,0
2020-02-04,California,6,0
2020-02-04,Illinois,2,0
2020-02-05,California,6,0
2020-02-05,Illinois,2,0
2020-02-06,California,6,0
2020-02-06,Illinois,2,0
2020-02-07,California,6,0
2020-02-07,Illinois,2,0
2020-02-08,California,6,0
2020-02-08,Illinois,2,0
2020-02-09,California,6,0
2020-02-09,Illinois,2,0
2020-02-10,California,7,0
2020-02-10,Illinois,2,0
2020-02-11,California,7,0
2020-02-11,Illinois,2,0
2020-02-12,California,7,0
2020-02-12,Illinois,2,0
2020-02-12,Texas,1,0
2020-02-13,California,7,0
2020-02-13,Illinois,2,0
2020-02-13,Texas,2,0
2020-02-14,California,7,0
2020-02-14,Illinois,2,0
2020-02-14,Texas,2,0
2020-02-15,California,7,0
2020-02-15,Illinois,2,0
2020-02-15,Texas,2,0
2020-02-16,California,7,0
2020-02-16,Illinois,2,0
2020-02-16,Texas,2,0
2020-02-17,California,7,0
2020-02-17,Illinois,2,0
2020-02-17,Texas,2,0
2020-02-18,California,7,0
2020-02-18,Illinois,2,0
2020-02-18,Texas,2,0
2020-02-19,California,7,0
2020-02-19,Illinois,2,0
2020-02-19,Texas,2,0
2020-02-20,California,8,0
2020-02-20,Illinois,2,0
2020-02-20,Texas,2,0
2020-02-21,California,9,0
2020-02-21,Illinois,2,0
2020-02-21,Texas,4,0
2020-02-22,California,9,0
2020-02-22,Illinois,2,0
2020-02-22,Texas,4,0
2020-02-23,California,9,0
2020-02-23,Illinois,2,0
2020-02-23,Texas,4,0
2020-02-24,California,11,0
2020-02-24,Illinois,2,0
2020-02-24,Texas,10,0
2020-02-25,California,11,0
2020-02-25,Illinois,2,0
2020-02-25,Texas,10,0
2020-02-26,California,26,0
2020-02-26,Illinois,2,0
2020-02-26,Texas,10,0
2020-02-27,California,26,0
2020-02-27,Illinois,2,0
2020-02-27,Texas,10,0
2020-02-28,California,27,0
2020-02-28,Illinois,2,0
2020-02-28,Texas,11,0
2020-02-29,California,28,0
2020-02-29,Illinois,3,0
2020-02-29,Texas,11,0
2020-03-01,California,33,0
2020-03-01,Florida,2,0
2020-03-01,Illinois,3,0
2020-03-01,New York,1,0
2020-03-01,Texas,11,0
2020-03-02,California,38,0
2020-03-02,Florida,2,0
2020-03-02,Illinois,4,0
2020-03-02,New York,1,0
2020-03-02,Texas,11,0
2020-03-03,California,45,0
2020-03-03,Florida,3,0
2020-03-03,Illinois,4,0
2020-03-03,New York,2,0
2020-03-03,Texas,11,0
2020-03-04,California,55,1
2020-03-04,Florida,3,0
2020-03-04,Illinois,4,0
2020-03-04,New York,11,0
2020-03-04,Texas,12,0
2020-03-05,California,67,1
2020-03-05,Florida,4,0
2020-03-05,Illinois,5,0
2020-03-05,New York,22,0
2020-03-05,Texas,16,0
2020-03-06,California,81,1
2020-03-06,Florida,7,2
2020-03-06,Illinois,6,0
2020-03-06,New York,44,0
2020-03-06,Texas,19,0
2020-03-07,California,100,1
2020-03-07,Florida,12,2
2020-03-07,Illinois,6,0
2020-03-07,New York,89,0
2020-03-07,Texas,19,0
2020-03-08,California,112,1
2020-03-08,Florida,13,2
2020-03-08,Illinois,7,0
2020-03-08,New York,106,0
2020-03-08,Texas,23,0
2020-03-09,California,172,2
2020-03-09,Florida,14,2
2020-03-09,Illinois,11,0
2020-03-09,New York,142,0
2020-03-09,Texas,24,0
2020-03-10,California,179,3
2020-03-10,Florida,23,2
2020-03-10,Illinois,19,0
2020-03-10,New York,173,0
2020-03-10,Texas,31,0
2020-03-11,California,202,4
2020-03-11,Florida,26,2
2020-03-11,Illinois,25,0
2020-03-11,New York,217,0
2020-03-11,Texas,33,0
2020-03-12,California,252,4
2020-03-12,Florida,46,2
2020-03-12,Illinois,32,0
2020-03-12,New York,326,0
2020-03-12,Texas,41,0
2020-03-13,California,320,5
2020-03-13,Florida,70,2
2020-03-13,Illinois,46,0
2020-03-13,New York,421,0
2020-03-13,Texas,58,0
2020-03-14,California,381,5
2020-03-14,Florida,70,3
2020-03-14,Illinois,66,0
2020-03-14,New York,610,2
2020-03-14,Texas,69,0
2020-03-15,California,478,6
2020-03-15,Florida,109,3
2020-03-15,Illinois,94,0
2020-03-15,New York,732,6
2020-03-15,Texas,80,0
2020-03-16,California,588,11
2020-03-16,Florida,141,4
2020-03-16,Illinois,104,0
2020-03-16,New York,950,10
2020-03-16,Texas,87,1
2020-03-17,California,732,14
2020-03-17,Florida,210,6
2020-03-17,Illinois,159,1
2020-03-17,New York,1375,18
2020-03-17,Texas,106,1
2020-03-18,California,893,17
2020-03-18,Florida,326,7
2020-03-18,Illinois,286,1
2020-03-18,New York,2387,32
2020-03-18,Texas,166,2
