2	2
1	2
1	1
1	1
1	1
2	3
3	4
6	7
3	4
3	4
14	15
4	4
4	5
4	5
4	4
4	5
4	12
3	3
0	0
3	5
6	6
4	7
5	5
5	7
2	4
3	4
7	9
3	3
2	4
6	13
4	5
4	4
8	9
15	16
4	5
1	2
11	13
9	12
4	4
1	3
3	5
3	6
2	4
1	2
12	12
0	0
6	7
1	2
5	6
2	3
3	3
0	0
0	0
5	6
6	6
5	8
6	7
2	3
3	4
1	2
1	6
6	8
2	4
5	6
3	4
12	12
3	3
5	6
12	15
3	4
4	5
3	3
0	0
1	1
5	5
1	1
33	44
4	4
5	5
13	17
9	11
5	5
2	2
8	9
10	12
3	3
0	0
4	4
2	2
7	7
2	6
3	4
2	3
0	0
2	2
2	4
4	4
2	3
3	3
5	5
0	0
4	5
16	18
0	0
12	13
3	4
3	4
15	15
6	9
4	4
2	2
6	7
1	2
4	4
8	8
2	3
0	0
1	2
1	1
13	14
2	2
10	11
1	1
2	2
0	0
3	3
2	4
15	15
4	5
4	5
0	0
2	3
33	38
3	6
4	5
4	5
0	0
2	2
4	4
5	6
5	6
2	4
1	2
26	27
1	5
3	5
3	3
0	0
6	7
2	2
3	3
2	3
22	24
3	4
3	3
3	4
3	3
1	2
3	6
2	3
5	6
1	1
5	7
2	2
1	2
2	2
3	3
59	60
3	4
0	0
9	9
21	23
2	2
4	6
5	6
2	2
3	4
4	4
12	12
2	2
2	2
10	24
3	7
4	4
1	1
3	3
1	1
3	3
6	7
16	22
8	9
1	1
2	2
7	8
119	124
10	12
3	3
4	4
9	10
1	3
2	2
4	4
6	6
3	4
1	2
38	48
5	5
8	8
3	3
5	7
0	0
2	4
6	7
12	14
6	7
9	10
2	3
9	14
8	9
15	19
1	9
7	8
5	5
10	11
0	1
3	3
1	2
4	4
1	2
0	2
3	4
12	12
7	7
3	5
5	8
7	9
1	1
4	8
2	2
2	9
3	3
18	18
1	2
6	7
4	5
3	3
1	1
1	1
8	11
4	4
3	5
1	1
2	4
5	6
4	5
5	6
3	5
2	3
1	1
0	1
4	6
4	4
1	3
1	5
4	6
2	2
15	21
3	5
0	1
2	2
2	2
5	5
0	2
3	5
3	4
1	1
3	4
7	10
3	3
1	2
8	12
0	2
10	12
7	9
8	8
7	8
2	2
1	2
5	6
10	14
6	8
2	4
8	8
1	1
1	1
5	6
4	9
2	2
1	4
13	13
16	16
7	8
4	5
6	6
5	5
2	3
3	3
3	3
5	5
3	4
1	2
3	3
3	4
4	5
2	2
5	5
4	9
2	2
3	6
4	4
6	9
9	10
17	24
6	6
8	9
8	8
3	3
3	3
1	1
15	17
3	4
12	16
10	13
5	5
1	2
2	3
16	17
39	41
0	1
11	14
0	1
13	15
12	12
0	0
7	8
4	8
2	3
6	8
13	16
1	4
2	3
1	1
0	0
5	5
3	4
9	13
2	4
4	7
45	49
5	7
16	19
5	7
4	8
7	10
2	5
7	8
2	7
2	7
2	5
8	10
5	8
1	1
5	8
4	5
3	4
3	5
3	4
3	5
0	0
3	4
4	5
4	5
0	1
0	1
0	1
2	4
1	5
2	3
0	0
4	6
15	18
6	9
4	5
3	4
1	1
0	2
0	0
4	5
2	3
3	7
6	7
20	23
3	3
2	3
3	3
5	5
6	9
6	6
3	3
0	0
11	12
4	9
3	3
1	2
1	1
3	4
8	10
0	0
9	9
2	4
5	5
1	1
2	5
4	9
7	8
2	4
4	4
3	3
1	1
1	1
4	5
2	2
0	0
2	6
5	10
4	7
9	12
3	7
3	5
1	1
8	11
4	4
2	3
3	3
1	2
1	2
5	6
7	9
8	8
4	5
7	7
6	8
11	14
2	5
15	17
4	6
1	1
4	4
9	14
6	7
3	5
10	13
16	19
5	7
10	10
1	1
4	6
5	6
2	2
1	2
1	5
22	26
4	11
5	6
7	10
1	3
2	3
7	8
4	5
5	8
8	11
5	5
0	1
7	9
2	3
5	9
3	3
2	4
7	7
4	6
6	7
7	10
1	1
0	0
10	12
0	1
6	10
2	3
3	4
2	6
4	5
17	18
5	6
1	1
14	18
5	5
5	15
2	4
9	13
4	7
0	0
4	7
2	8
4	4
3	5
1	2
5	7
2	5
2	2
8	9
4	6
3	8
1	4
3	4
1	3
1	1
4	4
2	2
7	7
8	10
1	5
4	4
0	0
6	9
9	15
1	1
2	2
4	4
1	4
2	2
4	4
0	5
3	3
4	4
3	5
15	18
2	3
5	11
1	1
1	3
1	1
0	0
4	7
1	1
1	1
2	4
9	9
2	2
2	3
0	2
12	12
1	1
13	15
2	7
5	8
1	1
8	10
5	6
1	2
3	4
1	6
33	34
2	9
8	9
3	7
15	18
11	11
15	16
0	0
7	8
4	5
5	6
3	7
32	33
7	8
4	7
4	5
10	11
8	12
3	3
1	3
13	17
4	6
6	7
2	2
2	2
4	6
5	5
1	1
5	8
6	8
6	7
7	11
1	2
1	3
1	1
3	4
12	13
4	4
2	3
2	3
4	5
1	2
7	7
2	2
2	3
2	3
1	2
1	1
10	11
2	3
7	18
11	13
11	12
4	7
2	2
5	5
2	5
7	7
3	3
5	12
2	4
4	4
3	4
1	2
2	4
6	7
1	2
2	3
1	2
3	16
3	3
8	9
1	3
6	7
18	18
2	2
23	24
5	7
10	11
1	1
0	0
2	4
13	15
1	3
4	7
2	6
2	3
2	3
8	8
3	4
8	13
1	1
5	9
3	7
5	6
3	4
7	9
3	4
8	9
3	6
3	6
4	5
1	1
1	2
2	5
3	3
7	7
5	6
4	6
1	7
1	3
6	9
6	8
3	3
2	2
2	3
7	10
3	5
8	8
8	12
4	9
5	8
11	11
8	9
6	7
6	10
18	19
3	4
2	2
3	4
2	3
2	7
10	16
1	3
9	14
2	3
3	5
5	6
5	5
4	6
5	5
8	8
3	4
13	13
1	2
8	9
0	0
4	4
1	1
1	2
1	1
2	6
4	4
2	4
4	11
4	6
15	18
25	28
4	5
1	6
8	11
3	10
3	5
6	6
7	12
8	8
21	23
2	3
6	6
1	3
14	23
1	3
5	7
17	18
4	4
1	2
1	2
0	0
2	2
7	8
0	1
2	2
14	15
1	2
1	1
1	1
7	8
27	37
7	8
3	3
3	3
11	19
3	5
5	6
1	2
0	0
10	12
1	3
2	3
1	4
3	4
3	4
2	3
5	9
3	3
2	4
1	1
1	1
3	3
6	9
7	8
3	5
2	2
5	5
1	9
3	4
7	7
4	7
4	7
1	4
2	2
3	4
14	18
5	6
2	2
4	4
6	8
2	3
16	18
